,OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,SalesTeamID,CustomerID,StoreID,ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price,Revenue,Profit,Procured_to_Order,Order_to_Ship,Ship_to_Delivery,Procured_to_Delivery
0,SO - 000101,In-Store,WARE-UHY1004,2017-12-31,2018-05-31,2018-06-14,2018-06-19,6,15,259,12,5,0.08,1001.18,1963.1,9030.26,4024.36,151,14,5,170
1,SO - 000102,Online,WARE-NMK1003,2017-12-31,2018-05-31,2018-06-22,2018-07-02,14,20,196,27,3,0.08,3348.66,3939.6,10873.296,827.32,151,22,10,183
2,SO - 000103,Distributor,WARE-UHY1004,2017-12-31,2018-05-31,2018-06-21,2018-07-01,21,16,213,16,1,0.05,781.22,1775.5,1686.725,905.5,151,21,10,182
3,SO - 000104,Wholesale,WARE-NMK1003,2017-12-31,2018-05-31,2018-06-02,2018-06-07,28,48,107,23,8,0.08,1464.69,2324.9,17111.264000000003,5393.74,151,2,5,158
4,SO - 000105,Distributor,WARE-NMK1003,2018-04-10,2018-05-31,2018-06-16,2018-06-26,22,49,111,26,8,0.1,1476.14,1822.4,13121.28,1312.16,51,16,10,77
5,SO - 000106,Online,WARE-PUJ1005,2017-12-31,2018-05-31,2018-06-08,2018-06-13,12,21,285,1,5,0.05,446.56,1038.5,4932.875,2700.08,151,8,5,164
6,SO - 000107,In-Store,WARE-XYS1001,2017-12-31,2018-05-31,2018-06-08,2018-06-14,10,14,6,5,4,0.15,536.67,1192.6,4054.8399999999997,1908.16,151,8,6,165
7,SO - 000108,In-Store,WARE-PUJ1005,2018-04-10,2018-05-31,2018-06-26,2018-07-01,6,9,280,46,5,0.05,1525.19,1815.7,8624.575,998.62,51,26,5,82
8,SO - 000109,In-Store,WARE-PUJ1005,2017-12-31,2018-06-01,2018-06-16,2018-06-21,4,9,299,47,4,0.3,2211.2,3879.3,10862.039999999999,2017.24,152,15,5,172
9,SO - 000110,In-Store,WARE-UHY1004,2017-12-31,2018-06-01,2018-06-29,2018-07-01,10,33,261,13,8,0.05,1212.97,1956.4,14868.64,5164.88,152,28,2,182
10,SO - 000111,Distributor,WARE-XYS1001,2017-12-31,2018-06-01,2018-06-15,2018-06-20,23,21,17,38,6,0.1,124.62,201.0,1085.4,337.68,152,14,5,171
11,SO - 000112,In-Store,WARE-NMK1003,2018-04-10,2018-06-01,2018-06-07,2018-06-17,10,21,152,40,5,0.15,2762.28,6277.9,26681.074999999997,12869.67,52,6,10,68
12,SO - 000113,In-Store,WARE-PUJ1005,2018-04-10,2018-06-01,2018-06-22,2018-07-02,4,36,317,39,5,0.05,641.66,1051.9,4996.525000000001,1788.23,52,21,10,83
13,SO - 000114,In-Store,WARE-PUJ1005,2018-04-10,2018-06-01,2018-06-07,2018-06-15,8,17,291,32,6,0.15,216.41,254.6,1298.46,0.0,52,6,8,66
14,SO - 000115,In-Store,WARE-NMK1003,2017-12-31,2018-06-01,2018-06-15,2018-06-20,9,32,138,6,6,0.15,3146.32,3932.9,20057.79,1179.87,152,14,5,171
15,SO - 000116,In-Store,WARE-MKL1006,2017-12-31,2018-06-01,2018-06-24,2018-07-02,5,11,354,25,3,0.05,700.69,1112.2,3169.7699999999995,1067.7,152,23,8,183
16,SO - 000117,In-Store,WARE-PUJ1005,2018-04-10,2018-06-01,2018-06-19,2018-06-27,9,10,320,6,3,0.08,904.84,1239.5,3421.0200000000004,706.5,52,18,8,78
17,SO - 000118,In-Store,WARE-XYS1001,2018-04-10,2018-06-01,2018-06-06,2018-06-14,8,30,21,3,4,0.1,393.96,984.9,3545.64,1969.8,52,5,8,65
18,SO - 000119,In-Store,WARE-MKL1006,2018-04-10,2018-06-01,2018-06-07,2018-06-15,5,5,349,20,4,0.1,4130.01,5581.1,20091.960000000003,3571.92,52,6,8,66
19,SO - 000120,Online,WARE-NMK1003,2017-12-31,2018-06-01,2018-06-11,2018-06-17,14,23,134,24,4,0.05,1795.33,3095.4,11762.52,4581.2,152,10,6,168
20,SO - 000121,Wholesale,WARE-NMK1003,2018-04-10,2018-06-01,2018-06-18,2018-06-20,25,46,193,33,4,0.4,1754.06,2278.0,5467.2,-1549.04,52,17,2,71
21,SO - 000122,In-Store,WARE-PUJ1005,2018-04-10,2018-06-02,2018-06-10,2018-06-16,2,14,282,1,7,0.08,654.46,991.6,6385.904,1804.68,53,8,6,67
22,SO - 000123,In-Store,WARE-XYS1001,2018-04-10,2018-06-02,2018-06-26,2018-06-28,7,40,20,35,2,0.2,3064.45,3979.8,6367.68,238.78,53,24,2,79
23,SO - 000124,Distributor,WARE-UHY1004,2017-12-31,2018-06-02,2018-06-22,2018-07-02,24,19,218,15,3,0.4,866.71,1969.8,3545.6399999999994,945.51,153,20,10,183
24,SO - 000125,In-Store,WARE-NMK1003,2018-04-10,2018-06-02,2018-06-16,2018-06-24,4,15,173,13,1,0.15,131.32,268.0,227.79999999999998,96.48,53,14,8,75
25,SO - 000126,Online,WARE-NMK1003,2017-12-31,2018-06-02,2018-06-21,2018-07-01,18,46,110,24,7,0.1,95.81,174.2,1097.46,426.79,153,19,10,182
26,SO - 000127,In-Store,WARE-UHY1004,2017-12-31,2018-06-02,2018-06-26,2018-07-06,7,32,229,46,3,0.08,2510.09,2988.2,8247.431999999999,717.16,153,24,10,187
27,SO - 000128,In-Store,WARE-UHY1004,2017-12-31,2018-06-02,2018-06-20,2018-06-29,9,32,238,36,4,0.05,2679.93,3999.9,15199.619999999999,4479.9,153,18,9,180
28,SO - 000129,Distributor,WARE-NMK1003,2018-04-10,2018-06-02,2018-06-21,2018-06-22,20,22,97,37,3,0.05,2450.32,5976.4,17032.739999999998,9681.78,53,19,1,73
29,SO - 000130,In-Store,WARE-NMK1003,2018-04-10,2018-06-02,2018-06-27,2018-06-29,8,5,103,32,5,0.1,2378.9,2901.1,13054.949999999999,1160.45,53,25,2,80
30,SO - 000131,In-Store,WARE-PUJ1005,2018-04-10,2018-06-03,2018-06-26,2018-07-05,8,29,305,23,7,0.08,2734.61,6076.9,39135.236,19992.97,54,23,9,86
31,SO - 000132,Online,WARE-PUJ1005,2017-12-31,2018-06-03,2018-06-05,2018-06-10,13,35,303,14,7,0.2,4186.7,5735.2,32117.12,2810.22,154,2,5,161
32,SO - 000133,Online,WARE-UHY1004,2017-12-31,2018-06-03,2018-06-30,2018-07-10,19,46,217,7,3,0.1,2077.34,3919.5,10582.650000000001,4350.63,154,27,10,191
33,SO - 000134,Online,WARE-MKL1006,2017-12-31,2018-06-03,2018-06-30,2018-07-05,17,42,362,46,1,0.05,3832.67,6083.6,5779.42,1946.75,154,27,5,186
34,SO - 000135,Wholesale,WARE-MKL1006,2018-04-10,2018-06-03,2018-06-14,2018-06-15,26,2,335,40,5,0.08,1642.3,2566.1,11804.06,3592.56,54,11,1,66
